layout,date,accuracy
Dvorak,2015/05/15,72.6
Dvorak,2015/05/19,67.8
Dvorak,2015/05/20,75.5
Dvorak,2015/05/21,75.9
Dvorak,2015/05/27,77.1
Dvorak,2015/05/28,81.1
Dvorak,2015/06/08,82
Dvorak,2015/07/13,81.1
Dvorak,2015/07/14,87.2
Dvorak,2015/07/17,84.9
Dvorak,2015/09/21,84.7
Dvorak,2015/09/24,80.5
Dvorak,2015/09/24,84.3
Dvorak,2015/09/30,85.7
Dvorak,2015/10/12,82.8
Dvorak,2015/10/21,89.7
Dvorak,2015/12/22,93.6
Qwerty,2015/05/15,97.7
Qwerty,2015/05/20,97.3
Qwerty,2015/05/28,96.3
Qwerty,2015/12/30,98.2